Filename,Package Name,App Name,Play Integrity Verdict,Pairip (Auto Protect),Play Integrity API,Legacy Licensing (LVL),Play Integrity Issues,Wake Lock Detected,Wake Lock Confidence,Wake Lock Manual Review,Wake Lock Reasons,Errors
2d31fe01-8032-4a05-80e3-b3b055d5acb9.apks,com.kwai.video,Kwai,PASS,NO,NO,NO,None,NO,high,No,None,
2fb9a695-b338-4c7d-80ca-87edaa4c648a.apk,com.myquest,MyQuest,PASS,NO,NO,NO,None,NO,high,No,None,
32f571ee-38bd-4478-ad40-493c83ae9159.apks,com.rubygames.assassin,Assassin,PASS,NO,NO,NO,None,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); PowerManager.newWakeLock(SCREEN_*); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,
40f32956-8e06-4ff1-a928-133e645f6ea8.apks,com.LogiaGroup.LogiaDeck,Mobile Services Manager,PASS,NO,NO,NO,None,NO,high,No,None,
576e55ad-fc87-47eb-bff7-b525b425104b.apks,com.justwatch.justwatch,JustWatch,PASS,NO,NO,NO,None,NO,high,No,None,
5b43043b-67b0-4b01-9ae8-4825e98ae597.apk,io.mobitech.game.hiddenantique,The Hidden Antique Shop,PASS,NO,NO,NO,None,NO,high,No,None,
63aa3bb3-c9dd-47c0-8e63-61608c33e668.apk,app.meditasyon,Meditopia,PASS,NO,NO,NO,None,YES,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),
670f9323-9cd3-486e-a79c-19db11514999.apks,com.brainium.solitairefree,Solitaire,WARNING,NO,YES,NO,Play Integrity API,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,
6a442a22-5e76-4e1a-a449-53dd8295bd76.apk,com.Psyonix.RL2D,RL Sideswipe,FAIL,NO,NO,YES,Legacy Play Licensing (LVL),YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),
73b3a9bd-64bc-40ed-9659-6780dbf40940.apks,com.luckyskeletonstudios.idlebanktycoon,Idle Bank Tycoon,PASS,NO,NO,NO,None,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); MediaPlayer.setScreenOnWhilePlaying(true),
74007ba7-6139-4d78-9448-9d5125b563c5.apk,com.mint,Mint,PASS,NO,NO,NO,None,NO,high,No,None,
7a54b72e-6fa5-4033-aa05-d974acd23fb9.apk,com.adsk.sketchbook,Sketchbook,PASS,NO,NO,NO,None,NO,high,No,None,
7bf58fd0-c814-4f3a-865c-0a89e88cff00.apks,com.mse.monumentalnetworks,Monumental,WARNING,NO,YES,NO,Play Integrity API,YES,medium,No,View.setKeepScreenOn(true),
8751e382-d479-4851-bfe5-129fa51f75d6.apks,ar.onvideo,Movistar TV,PASS,NO,NO,NO,None,NO,high,No,None,
88e65ab3-fcab-44f8-a226-0db16842cd5b.apk,tech.plink.PlinkApp,Plink,PASS,NO,NO,NO,None,YES,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/activity_vision_live_preview.xml,
8dd3daaf-d283-48ab-9822-cbb38029c63a.apks,com.wb.goog.got.conquest,GOTConquest,PASS,NO,NO,NO,None,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),
aa4611c6-d5e8-4044-b958-ab5f70ffd02e.apk,com.iscoolentertainment.snc,GardenOfWords,WARNING,NO,YES,NO,Play Integrity API,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,
ae11d1d1-7f38-4e26-a33a-79f09da61f8c.apks,com.miniclip.realsniper,Pure Sniper,WARNING,NO,YES,NO,Play Integrity API,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,
b4df0c0d-28b8-4191-a623-b8bcf321905c.apk,com.zee5.hipi,Hipi,PASS,NO,NO,NO,None,YES,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),
b8f5d6cd-c932-42fe-93dd-ede4f6d24c8f.apks,sg.bigo.live,BIGO LIVE,WARNING,NO,YES,NO,Play Integrity API,YES,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),
c9f4a477-8b69-4793-9a87-45f994732ec8.apks,com.grammarly.android.keyboard,Grammarly,FAIL,YES,NO,NO,Auto Protect (pairip),NO,high,No,None,
d0ab38f1-e4d6-434a-ac39-ba3c3511a3fb.apks,com.kiwifun.game.android.ball.sort,Ball Sort,WARNING,NO,YES,NO,Play Integrity API,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,
d16f6846-8a1c-4d25-877d-79aad475501e.apk,pe.com.rbt.android,Tonos de espera,PASS,NO,NO,NO,None,NO,high,No,None,
da4fe19a-224a-44d6-bf98-3f1e3305605e.apks,brain.blow.quest,Brain Blow,WARNING,NO,YES,NO,Play Integrity API,YES,high,No,MediaPlayer.setScreenOnWhilePlaying(true); Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,
e87d2aac-c2f5-4e0e-ba31-95638b619a22.apks,com.pianonbeat.rhythm,Cyber Music Rush,PASS,NO,NO,NO,None,YES,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,
fbe95cd6-3640-4c1e-b619-fc63a1c38745.apk,com.gazeus.balls.shooter.game,Gun Blast,PASS,NO,NO,NO,None,YES,low,Yes,MediaPlayer.setScreenOnWhilePlaying(true),
fce6e97f-f4e1-4be7-ae9e-3b6db25ca60f.apk,com.wordgame.words.connect,Word Connect,PASS,NO,NO,NO,None,YES,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),
fec72e4f-ecdb-44e3-87e3-00df90ffc8f4.apk,com.appmind.radios.br,"Rádio Brasil, Podcasts, Música, Canção, Notícias",PASS,NO,NO,NO,None,YES,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),
