URL,Filename,File Type,File Size (MB),Package Name,App Name,Play Integrity Verdict,PI Fail Reasons,PI Warning Reasons,Wake Lock Detected,WL Confidence,WL Needs Review,WL Vectors,QA Verdict,QA Notes
https://whitelabel-cdn-prod.digitalturbine.com/files/944f6190-aeeb-4cd6-afdc-755c900390c4.apks,944f6190-aeeb-4cd6-afdc-755c900390c4.apks,apks,385.35,com.playrix.township,Township,WARNING,,Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/movieplayer.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/a3c24336-03cf-4407-9563-e6a982ab6fab.apks,a3c24336-03cf-4407-9563-e6a982ab6fab.apks,apks,52.41,com.newleaf.app.android.victor,ReelShort,PASS,,,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/83584140-7ac5-496e-8085-b7949c7a30e1.apk,83584140-7ac5-496e-8085-b7949c7a30e1.apk,apk,5.71,com.coolniks.niksgps,Speedometer,PASS,,,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/be86c1df-9ca7-4f88-8657-1b3edbc0408f.apk,be86c1df-9ca7-4f88-8657-1b3edbc0408f.apk,apk,149.72,slots.pcg.casino.games.free.android,Cash Frenzy™,PASS,,,Yes,high,No,PowerManager.newWakeLock(SCREEN_*); PowerManager.newWakeLock(SCREEN_*); Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/65e0af0c-4e10-4a7b-b844-01686239744a.apks,65e0af0c-4e10-4a7b-b844-01686239744a.apks,apks,77.89,com.roasup.blockhitpuzzlegame,Block Hit,WARNING,,Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/ad3a3b0a-b955-44d6-9a45-4752f308614d.apks,ad3a3b0a-b955-44d6-9a45-4752f308614d.apks,apks,148.04,com.king.petrescuesaga,Pet Rescue Saga,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/b46170ee-5e04-4083-84ce-b6e33fe4bfee.apks,b46170ee-5e04-4083-84ce-b6e33fe4bfee.apks,apks,54.57,com.fp.cheapoair,CheapOair,PASS,,,No,high,No,,PASS,
https://whitelabel-cdn-prod.digitalturbine.com/files/dc58a6de-e820-4bc4-9f77-bf15ac0999ae.apk,dc58a6de-e820-4bc4-9f77-bf15ac0999ae.apk,apk,745.37,com.szckhd.jwgly.azyw,BeTheKing,FAIL,Legacy Play Licensing (LVL),Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),FAIL,Play Integrity FAIL: Legacy Play Licensing (LVL)
https://whitelabel-cdn-prod.digitalturbine.com/files/252df8e5-bc05-4e25-b5f4-12216e2715bb.apks,252df8e5-bc05-4e25-b5f4-12216e2715bb.apks,apks,192.43,com.mustardgames.police.bike.stunt.mega.ramp.impossibletracks,Parking Jam: Car Parking Games,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/1032988b-8270-4dbd-a3ea-91fbaa9fda2f.apks,1032988b-8270-4dbd-a3ea-91fbaa9fda2f.apks,apks,77.24,com.target.ui,Target,PASS,,,Yes,medium,No,AXML keepScreenOn=true in res/layout/activity_video_player.xml,PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/463a0145-fd4c-4e38-81a4-9ffd879255f2.apk,463a0145-fd4c-4e38-81a4-9ffd879255f2.apk,apk,229.55,com.tarboosh.collectemall,Collect Em All!,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/d0de6413-ccde-43bd-8a75-aad59dc50962.apks,d0de6413-ccde-43bd-8a75-aad59dc50962.apks,apks,157.4,org.findmykids.app,Findmykids,WARNING,,Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); View.setKeepScreenOn(true); Window.addFlags(FLAG_KEEP_SCREEN_ON); View.setKeepScreenOn(true),WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/82e4eb45-a636-4fbc-966a-7fb294293f57.apk,82e4eb45-a636-4fbc-966a-7fb294293f57.apk,apk,59.43,net.flysher.rockncash,RockNCash Casino Slot,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/7d940798-f58d-47ea-80ac-b6d5fb9eb8bb.apks,7d940798-f58d-47ea-80ac-b6d5fb9eb8bb.apks,apks,94.03,com.king.pyramidsolitairesaga,Pyramid Solitaire Saga,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/69216dd3-c235-45d7-9c2c-97e5c269f680.apk,69216dd3-c235-45d7-9c2c-97e5c269f680.apk,apk,73.5,org.mozilla.focus,Firefox Focus,PASS,,,No,high,No,,PASS,
